history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Новсиб2013;RU000A0JU963;6;1501.48;100.05;100.19;100.19;100.19;3.57;100.1;5.46;100.19;6;100.03;100.05;100.19;1790519.76;689095.12;1790519.76;2018-10-30;29;6.64;;;;5.12;;2018-10-01;250;SUR;;;5.3259;;RUB
EQOB;2018-10-02;Новсиб2013;RU000A0JU963;0;0;;;;100.19;3.63;;5.33;;0;100.03;100.05;100.19;2526397.92;689095.12;2526397.92;2018-10-30;28;;;;;5.12;;2018-10-01;250;SUR;;;5.5161;;RUB
EQOB;2018-10-03;Новсиб2013;RU000A0JU963;2;30050;100.05;100.19;100.19;100.19;3.68;100.17;5.26;100.05;120;100.03;100.06;100.19;2556447.92;709140.11;2556447.92;2018-10-30;27;5.54;;;;5.12;;2018-10-03;250;SUR;;;5.1328;;RUB
EQOB;2018-10-04;Новсиб2013;RU000A0JU963;0;0;;;;100.19;3.73;;5.17;;0;100.03;100.06;100.19;2508928.92;709140.11;2508928.92;2018-10-30;26;;;;;5.12;;2018-10-03;250;SUR;;;5.3303;;RUB
EQOB;2018-10-05;Новсиб2013;RU000A0JU963;4;1203332.05;100.09;100.1;100.09;100.09;3.79;100.09;6.54;100.1;4809;100.09;100.09;100.09;1234883.53;1234382.92;1234883.53;2018-10-30;25;6.54;;;;5.12;;2018-10-05;250;SUR;;;6.3512;;RUB
EQOB;2018-10-08;Новсиб2013;RU000A0JU963;2;2001.4;100.07;100.07;100.07;100.07;3.95;100.07;6.7;100.07;8;100.05;100.09;100.07;3025903.21;1235884.06;3025903.21;2018-10-30;22;6.7;;;;5.12;;2018-10-08;250;SUR;;;6.496;;RUB
EQOB;2018-10-09;Новсиб2013;RU000A0JU963;1;2251.35;100.06;100.06;100.06;100.06;4;100.06;6.85;100.06;9;100.09;100.09;100.06;1239136.28;1237885.28;1239136.28;2018-10-30;21;6.85;;;;5.12;;2018-10-09;250;SUR;;;6.6337;;RUB
EQOB;2018-10-10;Новсиб2013;RU000A0JU963;5;957250;100;100;100;100;4.06;100;7.89;100;3829;100.05;100.03;100;2164834.8;1539022.05;2164834.8;2018-10-30;20;7.89;;;;5.12;;2018-10-10;250;SUR;;;7.6143;;RUB
EQOB;2018-10-11;Новсиб2013;RU000A0JU963;8;719748;99.9;100;100;100;4.11;100;7.92;99.9;2879;100;100;100;1676998;721248;1676998;2018-10-30;19;7.92;;;;5.12;;2018-10-11;250;SUR;;;7.6355;;RUB
EQOB;2018-10-12;Новсиб2013;RU000A0JU963;5;1562502.55;100;100.04;100.04;100.04;4.16;100;7.09;100;6250;100;100;100.04;2282250.55;2176252.55;2282250.55;2018-10-30;18;7.94;;;;5.12;;2018-10-12;250;SUR;;;6.8587;;RUB
EQOB;2018-10-15;Новсиб2013;RU000A0JU963;5;146572.88;100.04;100.05;100.04;100.04;4.32;100.05;6.91;100.05;586;100;100;100.04;1709075.43;1709075.43;1709075.43;2018-10-30;15;6.66;;;;5.12;;2018-10-15;250;SUR;;;6.695;;RUB
EQOB;2018-10-16;Новсиб2013;RU000A0JU963;2;391713.98;100.04;100.09;100.09;100.05;4.38;100.05;5.41;100.04;1566;100.01;100.02;100.05;2100789.41;1675789.41;2100789.41;2018-10-30;14;6.49;;;;5.12;;2018-10-16;250;SUR;;;5.2736;;RUB
