,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,РЖД 1Р-05R,RU000A0ZYU05,0,0.0,,,,92.25,8.2,,8.94,,0,,91.0,92.25,0.0,3878536.3,0.0,2033-02-01,2077,,,,,36.4,2026-02-10,2018-09-28,1000,SUR,,8.943,,2026-02-13,RUB
1,EQOB,2018-10-02,РЖД 1Р-05R,RU000A0ZYU05,10,6107530.7,91.61,91.99,91.99,91.99,8.4,91.94,8.99,91.75,6655,91.77,91.77,91.99,6107530.7,6107530.7,6107530.7,2033-02-01,2080,9.0,,,,36.4,2026-02-10,2018-10-02,1000,SUR,,8.9845,,2026-02-13,RUB
2,EQOB,2018-10-03,РЖД 1Р-05R,RU000A0ZYU05,7,4548714.9,91.7,92.2,91.95,91.95,8.6,91.92,9.0,92.2,4947,91.85,91.95,91.95,10656245.6,5147569.8,10656245.6,2033-02-01,2079,9.01,,,,36.4,2026-02-10,2018-10-03,1000,SUR,,8.9931,,2026-02-13,RUB
3,EQOB,2018-10-04,РЖД 1Р-05R,RU000A0ZYU05,6,103629.8,90.15,91.95,90.15,91.68,8.8,91.71,9.38,91.95,113,91.94,91.94,91.68,4652344.7,3812838.7,4652344.7,2033-02-01,2077,9.05,,,,36.4,2026-02-10,2018-10-04,1000,SUR,,9.3694,,2026-02-13,RUB
4,EQOB,2018-10-05,РЖД 1Р-05R,RU000A0ZYU05,3,4599.0,91.93,92.18,92.18,92.18,9.0,91.98,8.95,91.93,5,91.94,91.94,92.18,4656943.7,3364178.3,4656943.7,2033-02-01,2077,9.0,,,,36.4,2026-02-10,2018-10-05,1000,SUR,,8.9465,,2026-02-13,RUB
5,EQOB,2018-10-08,РЖД 1Р-05R,RU000A0ZYU05,4,10978.5,91.01,91.89,91.49,91.49,9.6,91.49,9.1,91.01,12,,91.94,91.49,0.0,3375156.8,0.0,2033-02-01,2072,9.1,,,,36.4,2026-02-10,2018-10-08,1000,SUR,,9.0903,,2026-02-13,RUB
6,EQOB,2018-10-09,РЖД 1Р-05R,RU000A0ZYU05,6,90546.4,91.45,91.99,91.45,91.45,9.8,91.46,9.11,91.99,99,,91.93,91.45,0.0,3465703.2,0.0,2033-02-01,2071,9.1,,,,36.4,2026-02-10,2018-10-09,1000,SUR,,9.099,,2026-02-13,RUB
7,EQOB,2018-10-10,РЖД 1Р-05R,RU000A0ZYU05,11,39478.7,91.48,92.84,91.49,91.49,10.0,91.81,9.1,91.5,43,,91.93,91.49,0.0,3505181.9,0.0,2033-02-01,2071,9.03,,,,36.4,2026-02-10,2018-10-10,1000,SUR,,9.0911,,2026-02-13,RUB
8,EQOB,2018-10-11,РЖД 1Р-05R,RU000A0ZYU05,1,4598.5,91.97,91.97,91.97,91.97,10.2,91.97,9.0,91.97,5,,91.93,91.97,0.0,3509780.4,0.0,2033-02-01,2071,9.0,,,,36.4,2026-02-10,2018-10-11,1000,SUR,,8.9921,,2026-02-13,RUB
9,EQOB,2018-10-12,РЖД 1Р-05R,RU000A0ZYU05,2,54900.0,91.5,91.5,91.5,91.5,10.4,91.5,9.1,91.5,60,,91.92,91.5,0.0,3564680.4,0.0,2033-02-01,2068,9.1,,,,36.4,2026-02-10,2018-10-12,1000,SUR,,9.0899,,2026-02-13,RUB
